Date,Category,Amount,Time,City,Place,Budget
2023-01-01,Food,22.483570765056164,13:00:00,Houston,Mall,39
2023-01-01,Transport,19.308678494144075,16:00:00,Chicago,Mall,16
2023-01-01,Entertainment,23.23844269050346,11:00:00,Los Angeles,Park,29
2023-01-01,Utilities,27.61514928204013,10:00:00,Houston,Restaurant,42
2023-01-01,Shopping,18.829233126383322,19:00:00,Houston,Mall,103
2023-01-01,Healthcare,18.8293152152541,15:00:00,Phoenix,Gym,64
2023-01-02,Food,27.896064077536955,18:00:00,Houston,Cinema,24
2023-01-02,Transport,23.837173645764544,17:00:00,Los Angeles,Cinema,11
2023-01-02,Entertainment,17.65262807032524,21:00:00,Los Angeles,Mall,29
2023-01-02,Utilities,22.712800217929825,16:00:00,Chicago,Restaurant,65
2023-01-02,Shopping,17.682911535937688,19:00:00,Chicago,Gas Station,73
2023-01-02,Healthcare,17.671351232148716,18:00:00,Chicago,Restaurant,193
2023-01-03,Food,21.20981135783017,12:00:00,Houston,Grocery Store,20
2023-01-03,Transport,10.43359877671101,16:00:00,Houston,Gym,24
2023-01-03,Entertainment,11.375410837434837,09:00:00,Phoenix,Restaurant,68
2023-01-03,Utilities,17.188562353795135,10:00:00,Chicago,Park,76
2023-01-03,Shopping,14.93584439832788,14:00:00,New York,Gym,92
2023-01-03,Healthcare,21.571236662976368,14:00:00,Phoenix,Cinema,85
2023-01-04,Food,15.459879622393945,13:00:00,New York,Gym,31
2023-01-04,Transport,12.938481493323543,13:00:00,Houston,Park,24
2023-01-04,Entertainment,27.32824384460777,09:00:00,Phoenix,Mall,47
2023-01-04,Utilities,18.871118497567323,17:00:00,Phoenix,Park,91
2023-01-04,Shopping,20.33764102343962,13:00:00,Los Angeles,Park,34
2023-01-04,Healthcare,12.876259068932717,11:00:00,Houston,Mall,65
2023-01-05,Food,17.278086377374088,19:00:00,Houston,Mall,18
2023-01-05,Transport,20.55461294854933,10:00:00,Phoenix,Mall,6
2023-01-05,Entertainment,14.245032112888486,20:00:00,Houston,Mall,37
2023-01-05,Utilities,21.87849009172836,18:00:00,Phoenix,Mall,24
2023-01-05,Shopping,16.996806550405974,20:00:00,Los Angeles,Park,64
2023-01-05,Healthcare,18.541531251033618,09:00:00,Phoenix,Grocery Store,80
2023-01-06,Food,16.991466938853016,08:00:00,Houston,Grocery Store,34
2023-01-06,Transport,29.261390922544688,18:00:00,Houston,Restaurant,12
2023-01-06,Entertainment,19.93251387631033,18:00:00,Phoenix,Grocery Store,30
2023-01-06,Utilities,14.711445355220498,12:00:00,Phoenix,Cinema,67
2023-01-06,Shopping,24.112724560515943,09:00:00,Phoenix,Grocery Store,125
2023-01-06,Healthcare,13.895781750144888,09:00:00,Chicago,Park,80
2023-01-07,Food,21.044317975023777,14:00:00,Houston,Mall,24
2023-01-07,Transport,10.201649380601122,15:00:00,Houston,Mall,5
